Address,Latitude,Longitude,APC,LP,PDP,NNPP
"OTIOGBATA HALL I, AGUATA, ANAMBRA",6.0085842,7.1009488,8,14,77,0
"OTIOGBATA HALL II, AGUATA, ANAMBRA",6.0085842,7.1009488,0,0,0,0
"OTIOGBATA HALL III, AGUATA, ANAMBRA",6.0085842,7.1009488,0,96,2,0
"OKWUTE HALL I, AGUATA, ANAMBRA",6.0085842,7.1009488,5,158,2,0
"OKWUTE HALL II, AGUATA, ANAMBRA",6.0085842,7.1009488,14,10,77,1
"UGWUNWAOCHA SQUARE I, AGUATA, ANAMBRA",6.0085842,7.1009488,4,101,0,2
"UGWUNWAOCHA SQUARE II, AGUATA, ANAMBRA",6.0085842,7.1009488,0,53,1,0
"UGWUNWAOCHA SQUARE III, AGUATA, ANAMBRA",6.0085842,7.1009488,0,64,1,0
"COMMUNITY SEC. SCHOOL I, AGUATA, ANAMBRA",6.0019303,7.1069537,0,0,0,0
"COMMUNITY SEC. SCHOOL II, AGUATA, ANAMBRA",6.0019303,7.1069537,2,63,1,0
"R.V. UMUEZE I, AGUATA, ANAMBRA",6.0085842,7.1009488,2,7,66,1
"R.V. UMUEZE II, AGUATA, ANAMBRA",6.0085842,7.1009488,0,69,0,0
"COMMUNITY PRY. SCHOOL III, AGUATA, ANAMBRA",6.0053243,7.0991283,0,110,1,0
"COMMUNITY PRY. SCHOOL IV, AGUATA, ANAMBRA",6.0053243,7.0991283,0,95,2,0
"OGANIRU PRY. SCHOOL I, AGUATA, ANAMBRA",6.2106437,7.0052827,0,192,1,1
"OGANIRU PRY. SCHOOL II, AGUATA, ANAMBRA",6.2106437,7.0052827,0,0,0,0
"OGANIRU PRY. SCHOOL III, AGUATA, ANAMBRA",6.2106437,7.0052827,2,174,2,2
"IHUOGWUGWU HALL I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,161,0,0
"IHUOGWUGWU HALL II, AGUATA, ANAMBRA",6.0085842,7.1009488,0,76,0,0
"UGA B.S.S. I, AGUATA, ANAMBRA",5.9353459,7.0794263,1,191,0,0
"UGA B.S.S II, AGUATA, ANAMBRA",5.9353459,7.0794263,1,184,0,0
"UGA B.S.S III, AGUATA, ANAMBRA",5.9353459,7.0794263,0,0,0,0
